SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,181 Capistrano,SAN FRANCISCO,CA,94112,1200000,3,3.0,SAN FRANCISCO,1750,3319,1925,1,Garage,,Sold,,,,,1200000,2015-08-27,1175000.0,http://www.redfin.com/CA/San-Francisco/181-Capistrano-Ave-94112/home/1623792,MLSListings Inc. (MLSLI),ML81484413,Berkshire Hathaway Home Services California Realty,N,Y,37.727893,-122.437551,false
Past Sale,Single Family Residential,670 Edinburgh St,San Francisco,CA,94112,595000,2,1.0,Excelsior,1544,,1927,2,Garage,,Sold,,,,,595000,2014-01-28,651000.0,http://www.redfin.com/CA/San-Francisco/670-Edinburgh-St-94112/home/787654,San Francisco Association of Realtors (SFARMLS),415390,Madison Hunter,N,Y,37.718698,-122.434266,false
Past Sale,Single Family Residential,578 Vienna St,San Francisco,CA,94112,828000,4,2.0,Excelsior,2131,2500,1927,1,Garage,,Sold,,,,,828000,2014-10-21,1038000.0,http://www.redfin.com/CA/San-Francisco/578-Vienna-St-94112/home/1977040,San Francisco Association of Realtors (SFARMLS),425151,Landmark Investment Inc.,N,Y,37.719435,-122.431535,false
Past Sale,Single Family Residential,251 Silver Ave,San Francisco,CA,94112,,,1.0,94112,1670,,1927,,,,,,,,,,2014-03-19,520000.0,http://www.redfin.com/CA/San-Francisco/251-Silver-Ave-94112/home/2025329,,,,N,Y,37.729378,-122.432062,
Past Sale,Single Family Residential,1546 Alemany,San Francisco,CA,94112,699000,2,1.0,Mission Terrace,1690,2635,1933,3,Garage,,Sold,,,,,699000,2014-03-28,825000.0,http://www.redfin.com/CA/San-Francisco/1546-Alemany-Blvd-94112/home/1912693,San Francisco Association of Realtors (SFARMLS),415374,Century 21 Baldini Realty,N,Y,37.727683,-122.435831,false
Past Sale,Single Family Residential,169 Ocean Ave,San Francisco,CA,94112,649000,2,1.0,Mission Terrace,1300,3850,1910,1,Garage,,Sold,,,,,649000,2014-06-12,710000.0,http://www.redfin.com/CA/San-Francisco/169-Ocean-Ave-94112/home/1721211,San Francisco Association of Realtors (SFARMLS),420096,,N,Y,37.723122,-122.440627,false
Past Sale,Single Family Residential,522 Vienna St,San Francisco,CA,94112,550000,2,1.0,Excelsior,858,2495,1912,0,,,Sold,,,,,550000,2014-09-30,538000.0,http://www.redfin.com/CA/San-Francisco/522-Vienna-St-94112/home/1986219,San Francisco Association of Realtors (SFARMLS),424462,Coldwell Banker,N,Y,37.7202,-122.430956,false
Past Sale,Single Family Residential,247 1/2 Ney St,San Francisco,CA,94112,859000,2,1.0,Excelsior,1100,1100,1890,1,Garage,,Sold,,,,,859000,2015-04-10,991800.0,http://www.redfin.com/CA/San-Francisco/247-Ney-St-94112/unit-A/home/17304354,San Francisco Association of Realtors (SFARMLS),430598,Paragon Real Estate Group,N,Y,37.73035,-122.425024,false
Past Sale,Single Family Residential,37 Maynard St,San Francisco,CA,94112,549000,3,2.0,Excelsior,1972,2247,1915,1,Garage,,Sold,,,,,549000,2015-04-28,790000.0,http://www.redfin.com/CA/San-Francisco/37-Maynard-St-94112/home/1727612,San Francisco Association of Realtors (SFARMLS),430318,Century 21 Baldini Realty,N,Y,37.729402,-122.429707,false
Past Sale,Single Family Residential,210 Maynard St,San Francisco,CA,94112,995000,3,2.0,Excelsior,1850,2750,1912,2,Garage,,Sold,,,,,995000,2015-05-22,1400000.0,http://www.redfin.com/CA/San-Francisco/210-Maynard-St-94112/home/1149925,San Francisco Association of Realtors (SFARMLS),431726,Pacific Union International Inc.,N,Y,37.729195,-122.425702,false
Past Sale,Single Family Residential,148 Ney St,San Francisco,CA,94112,520000,2,1.0,Excelsior,,,1907,1,Garage,,Sold,,,,,520000,2015-05-08,682000.0,http://www.redfin.com/CA/San-Francisco/148-Ney-St-94112/home/1185225,San Francisco Association of Realtors (SFARMLS),431192,Hill & Co.,N,Y,37.729859,-122.427231,false
Past Sale,Single Family Residential,229 Theresa St,San Francisco,CA,94112,799000,3,1.5,Mission Terrace,1290,2500,1925,2,Garage,,Sold,,,,,799000,2015-06-01,975000.0,http://www.redfin.com/CA/San-Francisco/229-Theresa-St-94112/home/817674,San Francisco Association of Realtors (SFARMLS),431530,,N,Y,37.729724,-122.436034,false
Past Sale,Single Family Residential,182 Maynard St,San Francisco,CA,94112,715000,2,1.0,Excelsior,1050,2750,1908,1,Garage,,Sold,,,,,715000,2015-06-05,750000.0,http://www.redfin.com/CA/San-Francisco/182-Maynard-St-94112/home/771390,San Francisco Association of Realtors (SFARMLS),431054,Zephyr Real Estate,N,Y,37.72916,-122.426395,false
Past Sale,Single Family Residential,361 Maynard St,San Francisco,CA,94112,585000,2,1.0,Excelsior,862,2452,1942,1,Garage,,Sold,,,,,585000,2015-06-09,650000.0,http://www.redfin.com/CA/San-Francisco/361-Maynard-St-94112/home/769605,San Francisco Association of Realtors (SFARMLS),432049,Vanguard Properties,N,Y,37.730097,-122.422906,false
Past Sale,Single Family Residential,230 Trumbull St,San Francisco,CA,94112,,,1.0,94112,1025,,1938,,,,,,,,,,2015-05-20,432500.0,http://www.redfin.com/CA/San-Francisco/230-Trumbull-St-94112/home/767593,,,,N,Y,37.730694,-122.425393,
Past Sale,Single Family Residential,42 Stoneybrook Ave,San Francisco,CA,94112,715000,2,1.0,Excelsior,,,1942,1,Garage,,Sold,,,,,715000,2015-06-18,750000.0,http://www.redfin.com/CA/San-Francisco/42-Stoneybrook-Ave-94112/home/1095103,San Francisco Association of Realtors (SFARMLS),433501,Zephyr Real Estate,N,Y,37.730203,-122.422039,false
Past Sale,Single Family Residential,139 Tingley,San Francisco,CA,94112,749000,2,1.0,Mission Terrace,1325,2330,1935,1,Garage,,Sold,,,,,749000,2015-06-19,950000.0,http://www.redfin.com/CA/San-Francisco/139-Tingley-St-94112/home/811997,San Francisco Association of Realtors (SFARMLS),431231,Zephyr Real Estate,N,Y,37.729584,-122.434661,false
Past Sale,Single Family Residential,385 Maynard St,San Francisco,CA,94112,788000,3,1.75,Excelsior,1244,1816,1942,2,Garage,,Sold,,,,,788000,2015-06-25,850000.0,http://www.redfin.com/CA/San-Francisco/385-Maynard-St-94112/home/1430671,San Francisco Association of Realtors (SFARMLS),433595,RE Realty Experts,N,Y,37.730503,-122.422721,false
Past Sale,Single Family Residential,239 Cotter St,San Francisco,CA,94112,949000,3,2.0,Mission Terrace,,2500,1926,1,Garage,,Sold,,,,,949000,2015-07-14,1280000.0,http://www.redfin.com/CA/San-Francisco/239-Cotter-St-94112/home/817600,San Francisco Association of Realtors (SFARMLS),434062,Zephyr Real Estate,N,Y,37.729427,-122.436871,false
